Waypoint,Description,LAT,LONG
1L1S,NA,38.41664435,-112.5471749
1L1F,NA,38.15540062,-112.5293881
1L2S,NA,38.41664435,-112.5408186
1L2F,NA,38.15540062,-112.5231273
1L3S,NA,38.41664435,-112.5345167
1L3F,NA,38.15540062,-112.5168155
1L4S,NA,38.41664435,-112.5281888
1L4F,NA,38.15540062,-112.5101348
1L5S,NA,38.41664435,-112.5214383
1L5F,NA,38.15540062,-112.503429
1L6S,NA,38.41664435,-112.5146884
1L6F,NA,38.15540062,-112.4966726
1L7S,NA,38.41664435,-112.507913
1L7F,NA,38.15540062,-112.489994
1L8S,NA,38.41664435,-112.5011647
1L8F,NA,38.15540062,-112.4833159
1L9S,NA,38.41664435,-112.4943908
1L9F,NA,38.15540062,-112.4766385
1L10S,NA,38.41664435,-112.4876439
1L10F,NA,38.15540062,-112.4699107
1L11S,NA,38.41664435,-112.4808977
1L11F,NA,38.15540062,-112.4632599
1L12S,NA,38.41664435,-112.4741001
1L12F,NA,38.15540062,-112.4565333
1L13S,NA,38.41664435,-112.4668798
1L13F,NA,38.15540062,-112.4497822
1L14S,NA,38.41664435,-112.4596344
1L14F,NA,38.15540062,-112.4430824
1L15S,NA,38.41664435,-112.4527879
1L15F,NA,38.15540062,-112.436358
1L16S,NA,38.41664435,-112.4460198
1L16F,NA,38.15540062,-112.4287412
1L17S,NA,38.41664435,-112.438803
1L17F,NA,38.15540062,-112.4215465
1L18S,NA,38.41664435,-112.4320363
1L18F,NA,38.15540062,-112.4148493
