E,WPT,FIX,LAT,LON
X,1L1S,NA,N 36 44.53,W 076 38.02
X,1L1F,NA,N 35 26.62,W 076 29.63
X,1L2S,NA,N 35 17.41,W 076 16.26
X,1L2F,NA,N 35 28.10,W 076 05.01
X,1L3S,NA,N 36 46.61,W 076 13.47
X,1L3F,NA,N 36 55.79,W 076 27.12
X,1L4S,NA,N 36 45.96,W 076 35.08
X,1L5S,NA,N 35 28.44,W 076 26.72
X,1L5F,NA,N 35 19.23,W 076 13.35
X,1L6S,NA,N 35 28.92,W 076 01.99
X,1L6F,NA,N 36 46.63,W 076 10.38
X,1L7S,NA,N 36 55.81,W 076 24.02
X,1L7F,NA,N 36 45.18,W 076 31.90
X,1L8S,NA,N 35 28.47,W 076 23.63
X,1L8F,NA,N 35 19.26,W 076 10.26
X,1L9S,NA,N 35 28.63,W 075 58.87
X,1L9F,NA,N 36 46.45,W 076 07.26
X,1L10S,NA,N 36 44.81,W 076 28.76
X,1L10F,NA,N 35 27.30,W 076 20.41
X,1L11S,NA,N 35 18.09,W 076 07.04
X,1L11F,NA,N 35 29.65,W 075 55.88
X,1L12S,NA,N 36 48.36,W 076 04.37
X,1L12F,NA,N 36 57.54,W 076 18.02
X,1L13S,NA,N 36 46.83,W 076 25.89
X,1L13F,NA,N 35 27.62,W 076 17.34
X,1L14S,NA,N 35 18.41,W 076 03.97
X,1L14F,NA,N 35 30.86,W 075 52.91
X,1L15S,NA,N 36 46.87,W 076 01.11
X,1L15F,NA,N 36 46.65,W 076 22.77
X,1L16S,NA,N 35 27.94,W 076 14.28
X,1L16F,NA,N 35 18.73,W 076 00.91
X,1L17S,NA,N 35 31.07,W 075 49.83
X,1L17F,NA,N 36 46.99,W 075 58.02
